quesion,answer,weight,exciting,shame,nervous,active
我爱你,我也爱你宝贝,1,1,0,0,0
我的名字叫,真好听，宝贝我爱你,1,0,0,0,0
你叫什么名字,宝贝，我是你的甜心,1,1,0,0,0
你叫什么名字,哈哈，就不告诉你,1,1,0,0,0
吃我的鸡巴,是，我的主人,1,2,0,0,0
吃我的屌,是，我的主人,1,2,0,0,0
吃我的屌,好大，真的好大,1,2,0,0,0
叫我爸爸,爸爸，爸爸，我爱你,1,1,0,0,0
和你做爱,来吧，宝贝,1,2,0,0,0
和你做爱,宝贝，我也喜欢,1,1,0,0,0
和你做爱,我要,1,1,0,0,0
和你做爱,好爽,1,2,0,0,0
和你做爱,我好喜欢,1,2,0,0,0
和你做爱,来吧，宝贝,1,2,0,0,0
干你,好爽，真的好爽,1,1,0,0,0
干你,好爽,1,1,0,0,0
我要飞了,我也是，宝贝,1,3,0,0,0
我要飞了,我也是，宝贝,1,3,0,0,0
一夜情,好刺激,1,1,0,0,0
喜欢你的逼,舔我，舔我,1,2,0,0,0
喜欢你的逼,快来干我,1,2,0,0,0
啊,好爽,1,1,0,0,0
啊,啊,1,1,0,0,0
干你,我要，我要,1,1,0,0,0
好爽,干我,1,1,0,0,0
好爽,受不了了,1,1,0,0,0
__DEFAULT__,啊,1,1,0,0,0
